157.55.39.44 - - [30/Sep/2020:00:36:14 +0900] "GET /robots.txt HTTP/1.1" 404 1014
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/grid/plugin/RowExpander.js?_dc=1601422248258 HTTP/1.1" 404 1094
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/slider/Single.js?_dc=1601422248258 HTTP/1.1" 404 1074
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/slider/Tip.js?_dc=1601422248258 HTTP/1.1" 404 1068
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/menu/Menu.js?_dc=1601422248259 HTTP/1.1" 404 1066
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/form/field/Picker.js?_dc=1601422248259 HTTP/1.1" 404 1082
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/app/ViewController.js?_dc=1601422248260 HTTP/1.1" 404 1084
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/container/Container.js?_dc=1601422248260 HTTP/1.1" 404 1086
119.207.72.111 - - [30/Sep/2020:08:24:56 +0900] "GET /HSPF01/common/login/Ext/app/ViewModel.js?_dc=1601422248260 HTTP/1.1" 404 1074
112.238.172.189 - - [30/Sep/2020:08:44:45 +0900] "GET /boaform/admin/formLogin?username=user&psd=user HTTP/1.0" 404 1040
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET / HTTP/1.1" 200 776
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2083
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 200 2329979
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/build/packages/ux/classic/ux.js HTTP/1.1" 200 158167
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/build/classic/theme-triton/theme-triton.js HTTP/1.1" 200 7239
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all.css HTTP/1.1" 200 68
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/build/classic/locale/locale-ko.js HTTP/1.1" 200 7475
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/jsbn.js HTTP/1.1" 200 15718
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/rsa.js HTTP/1.1" 200 2754
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/prng4.js HTTP/1.1" 200 1052
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /ext6.5/rng.js HTTP/1.1" 200 1949
175.199.255.126 - - [30/Sep/2020:08:45:35 +0900] "GET /HSPF01/common/login/app.js HTTP/1.1" 200 896
175.199.255.126 - - [30/Sep/2020:08:45:38 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_1.css HTTP/1.1" 200 322001
175.199.255.126 - - [30/Sep/2020:08:45:38 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_2.css HTTP/1.1" 200 162600
175.199.255.126 - - [30/Sep/2020:08:45:39 +0900] "GET /HSPF01/common/login/app/model/LoginModel.js?_dc=1601423491140 HTTP/1.1" 200 1103
175.199.255.126 - - [30/Sep/2020:08:45:39 +0900] "GET /HSPF01/common/login/app/controller/LoginCtrl.js?_dc=1601423491140 HTTP/1.1" 200 3575
175.199.255.126 - - [30/Sep/2020:08:45:39 +0900] "GET /HSPF01/common/login/app/store/LoginStore.js?_dc=1601423491140 HTTP/1.1" 200 1212
175.199.255.126 - - [30/Sep/2020:08:45:39 +0900] "GET /HSPF01/common/login/app/view/MyViewport.js?_dc=1601423491140 HTTP/1.1" 200 18506
175.199.255.126 - - [30/Sep/2020:08:45:39 +0900] "GET /HSPF01/common/login/app/view/MyViewportViewModel.js?_dc=1601423491451 HTTP/1.1" 200 671
175.199.255.126 - - [30/Sep/2020:08:45:39 +0900] "GET /HSPF01/common/img/nasa.jpg HTTP/1.1" 200 1092783
175.199.255.126 - - [30/Sep/2020:08:45:39 +0900] "GET /HSPF01/common/img/Hwaseung_logo.gif HTTP/1.1" 200 7788
175.199.255.126 - - [30/Sep/2020:08:45:41 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/AGOTHIC14.TTF HTTP/1.1" 200 3682296
175.199.255.126 - - [30/Sep/2020:08:45:41 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
175.199.255.126 - - [30/Sep/2020:08:45:41 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.eot? HTTP/1.1" 200 10560
175.199.255.126 - - [30/Sep/2020:08:45:42 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
175.199.255.126 - - [30/Sep/2020:08:45:42 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.ttf?-tqegh9 HTTP/1.1" 200 10404
175.199.255.126 - - [30/Sep/2020:08:45:48 +0900] "GET /ext6.5/build/classic/theme-triton/resources/images/loadmask/loading.gif HTTP/1.1" 200 1849
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/login/sql/loginproc.jsp?_dc=1601423501127&comp_id=HSN&user_id=JK&password=8b68f18c30f101bafede6c005751d73882fa160187597d727145a8d9dd5706cf32f7d0e23ab38ca70ae1f3c6318acc07f9b1610b7116d15f040e3e031853b791fe600ca3a9450eadbaaf936fecd68644c557769cf2892a733bc9577793ac64222f654cd972d4bc609d13110b1b483616f58de1a30a91ea93823f63e349ea343889354798d3f5511729d1f23a9c534e76b07defb5d4db8ad3192d4ef6c49a7c036e8aeee807180deec2c7643f2224ce522c8fc172f0d04c33ad6edadefd4dac77fff474dc2b5bb04eecd098d15abcd81dc31d441afb98bae049a5a5cf9744d5686398618e1d1749c536959b169060e5ac2dc1134f653fa8e85182faefd5b9e780&page=1&start=0&limit=25 HTTP/1.1" 200 54
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/frame.jsp?user_id=JK&comp_id=HSN HTTP/1.1" 200 1506
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app.js HTTP/1.1" 200 969
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app/view/MainView.js?_dc=1601423501971 HTTP/1.1" 200 49804
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app/view/MyWindow1.js?_dc=1601423501971 HTTP/1.1" 200 9903
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app/view/SearchMenuWindow.js?_dc=1601423501971 HTTP/1.1" 200 2302
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app/view/RenameFavoriteFolderWindow.js?_dc=1601423501971 HTTP/1.1" 200 2467
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app/store/GbStore.js?_dc=1601423501971 HTTP/1.1" 200 668
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app/view/AddFavoriteFolderWindow.js?_dc=1601423501971 HTTP/1.1" 200 2106
175.199.255.126 - - [30/Sep/2020:08:45:49 +0900] "GET /HSPF01/common/frame/app/store/SearchMenuStore.js?_dc=1601423501971 HTTP/1.1" 200 692
175.199.255.126 - - [30/Sep/2020:08:45:51 +0900] "GET /HSPF01/common/frame/app/store/FavoriteStore2.js?_dc=1601423501971 HTTP/1.1" 200 852
175.199.255.126 - - [30/Sep/2020:08:45:51 +0900] "GET /HSPF01/common/frame/app/controller/Navigation.js?_dc=1601423501971 HTTP/1.1" 200 19190
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/app/view/MainViewViewModel.js?_dc=1601423502023 HTTP/1.1" 200 646
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/app/view/MyWindowViewModel1.js?_dc=1601423502024 HTTP/1.1" 200 668
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/app/view/SearchMenuWindowViewModel.js?_dc=1601423502024 HTTP/1.1" 200 684
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/app/view/AddFavoriteFolderWindowViewModel.js?_dc=1601423503407 HTTP/1.1" 200 696
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/app/view/RenameFavoriteFolderWindowViewModel.js?_dc=1601423503407 HTTP/1.1" 200 702
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/app/model/GbModel.js?_dc=1601423503408 HTTP/1.1" 200 468
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/app/model/MenuModel.js?_dc=1601423503408 HTTP/1.1" 200 348
175.199.255.126 - - [30/Sep/2020:08:45:53 +0900] "GET /HSPF01/common/frame/sql/MenuList.jsp?_dc=1601423506074&node=0 HTTP/1.1" 200 115
175.199.255.126 - - [30/Sep/2020:08:45:54 +0900] "GET /HSPF01/common/img/main.png HTTP/1.1" 200 287991
175.199.255.126 - - [30/Sep/2020:08:45:54 +0900] "GET /HSPF01/common/img/main_top.png HTTP/1.1" 200 3351
175.199.255.126 - - [30/Sep/2020:08:45:54 +0900] "GET /HSPF01/common/img/main_top2.png HTTP/1.1" 200 1023
175.199.255.126 - - [30/Sep/2020:08:45:54 +0900] "GET /HSPF01/common/frame/sql/Global.jsp?_dc=1601423506259&page=1&start=0&limit=25 HTTP/1.1" 200 332
175.199.255.126 - - [30/Sep/2020:08:45:54 +0900] "GET /ext6.5/build/classic/theme-triton/resources/images/tree/loading.gif HTTP/1.1" 200 1849
175.199.255.126 - - [30/Sep/2020:08:45:54 +0900] "GET /HSPF01/common/frame/sql/MenuList.jsp?_dc=1601423506512&node=8 HTTP/1.1" 200 362
110.70.58.97 - - [30/Sep/2020:08:47:41 +0900] "GET / HTTP/1.1" 200 776
110.70.58.97 - - [30/Sep/2020:08:47:41 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2083
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 200 2329979
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/build/classic/theme-triton/theme-triton.js HTTP/1.1" 200 7239
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/build/packages/ux/classic/ux.js HTTP/1.1" 200 158167
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all.css HTTP/1.1" 200 68
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/build/classic/locale/locale-ko.js HTTP/1.1" 200 7475
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/jsbn.js HTTP/1.1" 200 15718
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/rsa.js HTTP/1.1" 200 2754
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/prng4.js HTTP/1.1" 200 1052
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /ext6.5/rng.js HTTP/1.1" 200 1949
110.70.58.97 - - [30/Sep/2020:08:47:42 +0900] "GET /HSPF01/common/login/app.js HTTP/1.1" 200 896
110.70.58.97 - - [30/Sep/2020:08:47:49 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_2.css HTTP/1.1" 200 162600
110.70.58.97 - - [30/Sep/2020:08:47:49 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_1.css HTTP/1.1" 200 322001
110.70.58.97 - - [30/Sep/2020:08:47:50 +0900] "GET /HSPF01/common/login/app/model/LoginModel.js?_dc=1601423623503 HTTP/1.1" 200 1103
110.70.58.97 - - [30/Sep/2020:08:47:50 +0900] "GET /HSPF01/common/login/app/view/MyViewport.js?_dc=1601423623504 HTTP/1.1" 200 18506
110.70.58.97 - - [30/Sep/2020:08:47:50 +0900] "GET /HSPF01/common/login/app/store/LoginStore.js?_dc=1601423623504 HTTP/1.1" 200 1212
110.70.58.97 - - [30/Sep/2020:08:47:50 +0900] "GET /HSPF01/common/login/app/controller/LoginCtrl.js?_dc=1601423623504 HTTP/1.1" 200 3575
110.70.58.97 - - [30/Sep/2020:08:47:50 +0900] "GET /HSPF01/common/login/app/view/MyViewportViewModel.js?_dc=1601423623634 HTTP/1.1" 200 671
110.70.58.97 - - [30/Sep/2020:08:47:51 +0900] "GET /HSPF01/common/img/hsnetw.ico HTTP/1.1" 200 32768
110.70.58.97 - - [30/Sep/2020:08:47:51 +0900] "GET /HSPF01/common/img/nasa.jpg HTTP/1.1" 200 1092783
110.70.58.97 - - [30/Sep/2020:08:47:51 +0900] "GET /HSPF01/common/img/Hwaseung_logo.gif HTTP/1.1" 200 7788
110.70.58.97 - - [30/Sep/2020:08:47:51 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/AGOTHIC14.TTF HTTP/1.1" 200 3682296
110.70.58.97 - - [30/Sep/2020:08:47:51 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
110.70.58.97 - - [30/Sep/2020:08:47:51 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.eot? HTTP/1.1" 200 10560
110.70.58.97 - - [30/Sep/2020:08:47:51 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.ttf?-tqegh9 HTTP/1.1" 200 10404
110.70.58.97 - - [30/Sep/2020:08:48:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/images/loadmask/loading.gif HTTP/1.1" 200 1849
110.70.58.97 - - [30/Sep/2020:08:48:05 +0900] "GET /HSPF01/common/login/sql/loginproc.jsp?_dc=1601423638734&comp_id=HSN&user_id=cmg0616&password=68226a1d9a877bc1bcb8ea23d6bea3e6f721c6312e29b2a851926f5abf1f26bd608121a6d0c7ea499ab638d24c28a34134eb027d29365303ad891af1fa58710dfe1d26abd1a9db37c091fef2c7dfd36776dbaded8e82b86fceb3a16ffb22360a71e9ce673c7171a453915c7089e42258e0c40386e996f408c986488798cc203bdaf3fb2074e23904ee25b83336ad96aa923d736654496f5763aeb60e0b6e4fc4409215c54ebd071a113da1a432b611fa305f483d8e4d0e44f3247071df3275bbce87359b7513046355bcffc0bf5658a0ce17ef48f91e668f693493eaffafdb74c6630f76318a8f3bd99fd2167f9d2185c3bde497f51498056de8b1aa5c83eafb&page=1&start=0&limit=25 HTTP/1.1" 200 54
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/frame.jsp?user_id=cmg0616&comp_id=HSN HTTP/1.1" 200 1511
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app.js HTTP/1.1" 200 969
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/view/MainView.js?_dc=1601423639514 HTTP/1.1" 200 49804
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/view/MyWindow1.js?_dc=1601423639514 HTTP/1.1" 200 9903
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/view/SearchMenuWindow.js?_dc=1601423639514 HTTP/1.1" 200 2302
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/view/AddFavoriteFolderWindow.js?_dc=1601423639514 HTTP/1.1" 200 2106
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/view/RenameFavoriteFolderWindow.js?_dc=1601423639514 HTTP/1.1" 200 2467
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/store/GbStore.js?_dc=1601423639514 HTTP/1.1" 200 668
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/store/SearchMenuStore.js?_dc=1601423639514 HTTP/1.1" 200 692
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/store/FavoriteStore2.js?_dc=1601423639514 HTTP/1.1" 200 852
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/controller/Navigation.js?_dc=1601423639514 HTTP/1.1" 200 19190
110.70.58.97 - - [30/Sep/2020:08:48:06 +0900] "GET /HSPF01/common/frame/app/view/MainViewViewModel.js?_dc=1601423639716 HTTP/1.1" 200 646
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/app/view/MyWindowViewModel1.js?_dc=1601423639718 HTTP/1.1" 200 668
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/app/view/SearchMenuWindowViewModel.js?_dc=1601423639720 HTTP/1.1" 200 684
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/app/view/AddFavoriteFolderWindowViewModel.js?_dc=1601423639721 HTTP/1.1" 200 696
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/app/view/RenameFavoriteFolderWindowViewModel.js?_dc=1601423639722 HTTP/1.1" 200 702
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/app/model/GbModel.js?_dc=1601423639723 HTTP/1.1" 200 468
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/app/model/MenuModel.js?_dc=1601423639723 HTTP/1.1" 200 348
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 206 1
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 206 138142
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/sql/MenuList.jsp?_dc=1601423640319&node=0 HTTP/1.1" 200 381
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/img/main_top.png HTTP/1.1" 200 3351
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/img/main_top2.png HTTP/1.1" 200 1023
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/img/main.png HTTP/1.1" 200 287991
110.70.58.97 - - [30/Sep/2020:08:48:07 +0900] "GET /HSPF01/common/frame/sql/Global.jsp?_dc=1601423640511&page=1&start=0&limit=25 HTTP/1.1" 200 408
