39.117.139.196 - - [27/Dec/2020:01:04:37 +0900] "GET / HTTP/1.1" 200 776
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /HSPF01/common/login/app/store/LoginStore.js?_dc=1609032008256 HTTP/1.1" 200 1212
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /HSPF01/common/login/app/controller/LoginCtrl.js?_dc=1609032008256 HTTP/1.1" 200 3575
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /HSPF01/common/login/app/view/MyViewportViewModel.js?_dc=1609032008370 HTTP/1.1" 200 671
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Light.ttf HTTP/1.1" 200 222412
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/AGOTHIC14.TTF HTTP/1.1" 200 3682296
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-LightItalic.ttf HTTP/1.1" 200 213128
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Semibold.ttf HTTP/1.1" 200 221328
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Italic.ttf HTTP/1.1" 200 212896
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-BoldItalic.ttf HTTP/1.1" 200 213292
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Bold.ttf HTTP/1.1" 200 224592
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-SemiboldItalic.ttf HTTP/1.1" 200 212820
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBold.ttf HTTP/1.1" 200 222584
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBoldItalic.ttf HTTP/1.1" 200 213420
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.eot? HTTP/1.1" 200 10560
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /HSPF01/common/img/Hwaseung_logo.gif HTTP/1.1" 200 7788
112.175.15.141 - - [27/Dec/2020:10:12:56 +0900] "GET /HSPF01/common/img/nasa.jpg HTTP/1.1" 200 1092783
112.175.15.141 - - [27/Dec/2020:10:12:58 +0900] "GET /HSPF01/common/img/hsnetw.ico HTTP/1.1" 200 32768
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /ext6.5/build/classic/theme-triton/resources/images/loadmask/loading.gif HTTP/1.1" 200 1849
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /HSPF01/common/login/sql/loginproc.jsp?_dc=1609032022701&comp_id=HSN&user_id=P102667&password=398f0c3fef1657b2dd916329f82da23bfb60a06990ed5ce05d8048bce7c55586d2c04495d91cc01506816a4e3dd22c8113d9763d082879b18ad20f319babd071632169078bfb37b1fe3567d544725272b019a22aefb8019c012c2f42d30df8f45fde9fcaf5ce79afaf3779103a57156b273970edf9aa851d6d35c6531c5133b99f4a4d05ff5711b7807d9d3c4e223efeac5ddf9ae1f5ca4f4086d4b03781356c6f1caed037f09ae472190e11145f70bb4bb7d080ef82cc9f9ebbd789281fca8c9a7ef1f1749133b5f47646e81afe6fd20e180106556e9facdcb4e1bb576a2b604b605e96c13db7d726223169e6680d0fd5aa8a87cac9f783917042059c35dad0&page=1&start=0&limit=25 HTTP/1.1" 200 54
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /HSPF01/common/frame/frame.jsp?user_id=P102667&comp_id=HSN HTTP/1.1" 200 1511
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /ext6.5/build/packages/ux/classic/ux.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all.css HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /ext6.5/build/classic/theme-triton/theme-triton.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /HSPF01/common/frame/app.js HTTP/1.1" 200 969
112.175.15.141 - - [27/Dec/2020:10:13:10 +0900] "GET /ext6.5/build/classic/locale/locale-ko.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_1.css HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_2.css HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/MainView.js?_dc=1609032023460 HTTP/1.1" 200 49804
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/MyWindow1.js?_dc=1609032023460 HTTP/1.1" 200 9903
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/SearchMenuWindow.js?_dc=1609032023460 HTTP/1.1" 200 2302
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/RenameFavoriteFolderWindow.js?_dc=1609032023461 HTTP/1.1" 200 2467
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/store/GbStore.js?_dc=1609032023461 HTTP/1.1" 200 668
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/AddFavoriteFolderWindow.js?_dc=1609032023461 HTTP/1.1" 200 2106
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/store/SearchMenuStore.js?_dc=1609032023461 HTTP/1.1" 200 692
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/store/FavoriteStore2.js?_dc=1609032023461 HTTP/1.1" 200 852
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/controller/Navigation.js?_dc=1609032023462 HTTP/1.1" 200 19235
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/MainViewViewModel.js?_dc=1609032023573 HTTP/1.1" 200 646
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/MyWindowViewModel1.js?_dc=1609032023579 HTTP/1.1" 200 668
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/SearchMenuWindowViewModel.js?_dc=1609032023585 HTTP/1.1" 200 684
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/AddFavoriteFolderWindowViewModel.js?_dc=1609032023588 HTTP/1.1" 200 696
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/view/RenameFavoriteFolderWindowViewModel.js?_dc=1609032023594 HTTP/1.1" 200 702
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/model/GbModel.js?_dc=1609032023596 HTTP/1.1" 200 468
112.175.15.141 - - [27/Dec/2020:10:13:11 +0900] "GET /HSPF01/common/frame/app/model/MenuModel.js?_dc=1609032023596 HTTP/1.1" 200 348
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-LightItalic.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Light.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Regular.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Italic.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/AGOTHIC14.TTF HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Semibold.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-SemiboldItalic.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Bold.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-BoldItalic.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBoldItalic.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBold.ttf HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /HSPF01/common/frame/sql/MenuList.jsp?_dc=1609032024072&node=0 HTTP/1.1" 200 137
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /HSPF01/common/img/main_top.png HTTP/1.1" 200 3351
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /HSPF01/common/img/main_top2.png HTTP/1.1" 200 1023
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /HSPF01/common/img/main.png HTTP/1.1" 200 287991
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /HSPF01/common/frame/sql/Global.jsp?_dc=1609032024613&page=1&start=0&limit=25 HTTP/1.1" 200 358
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /HSPF01/common/frame/sql/MenuList.jsp?_dc=1609032024805&node=5 HTTP/1.1" 200 115
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /ext6.5/build/classic/theme-triton/resources/images/tree/loading.gif HTTP/1.1" 200 1849
112.175.15.141 - - [27/Dec/2020:10:13:12 +0900] "GET /HSPF01/common/frame/sql/MenuList.jsp?_dc=1609032024882&node=18 HTTP/1.1" 200 172
112.175.15.141 - - [27/Dec/2020:10:13:14 +0900] "GET /ext6.5/build/classic/theme-triton/resources/images/loadmask/loading.gif HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/SCM_DLV_HSPF.jsp HTTP/1.1" 200 1735
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/classic/theme-triton/theme-triton.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all.css HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/packages/ux/classic/ux.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/packages/exporter/build/classic/exporter.js HTTP/1.1" 200 154453
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/classic/locale/locale-ko.js HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app.js HTTP/1.1" 200 1564
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/packages/font-awesome/resources/font-awesome-all.css HTTP/1.1" 200 38036
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/common/css/HSPF01_style.css HTTP/1.1" 200 975
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_1.css HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/model/MyModel1.js?_dc=1609032027855 HTTP/1.1" 200 1407
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/model/MyModel2.js?_dc=1609032027855 HTTP/1.1" 200 1423
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/model/MyModel3.js?_dc=1609032027855 HTTP/1.1" 200 1492
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/model/MyModel.js?_dc=1609032027855 HTTP/1.1" 200 1510
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyViewport.js?_dc=1609032027855 HTTP/1.1" 200 2540
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyGrid.js?_dc=1609032027855 HTTP/1.1" 200 13754
112.175.15.141 - - [27/Dec/2020:10:13:15 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MySearchForm.js?_dc=1609032027855 HTTP/1.1" 200 9727
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/TbButton.js?_dc=1609032027855 HTTP/1.1" 200 2401
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MySearchForm1.js?_dc=1609032027855 HTTP/1.1" 200 7441
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/AsnPop.js?_dc=1609032027855 HTTP/1.1" 200 30638
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyWindow.js?_dc=1609032027855 HTTP/1.1" 200 8377
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/WinAddRow.js?_dc=1609032027855 HTTP/1.1" 200 2478
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyGrid1.js?_dc=1609032027855 HTTP/1.1" 200 8619
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/store/MyStore.js?_dc=1609032027856 HTTP/1.1" 200 1566
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/WinGrDn.js?_dc=1609032027856 HTTP/1.1" 200 3246
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/store/MyStore1.js?_dc=1609032027856 HTTP/1.1" 200 1571
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/store/MyStore2.js?_dc=1609032027856 HTTP/1.1" 200 1571
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/store/MyStore3.js?_dc=1609032027856 HTTP/1.1" 200 1526
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/store/FileStore.js?_dc=1609032027856 HTTP/1.1" 200 1699
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/common/popup/app//store/WinMBpPopStore.js?_dc=1609032027856 HTTP/1.1" 200 1527
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/controller/TbButtonController.js?_dc=1609032027856 HTTP/1.1" 200 2671
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/controller/MyGridController.js?_dc=1609032027857 HTTP/1.1" 200 6223
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/controller/MyController.js?_dc=1609032027857 HTTP/1.1" 200 914
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/controller/WinAddRowController.js?_dc=1609032027857 HTTP/1.1" 200 1550
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/controller/MyGridController1.js?_dc=1609032027857 HTTP/1.1" 200 6430
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/common/popup/app//controller/WinMBpPopController.js?_dc=1609032027857 HTTP/1.1" 200 7338
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/controller/AsnPopController.js?_dc=1609032027857 HTTP/1.1" 200 32612
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyViewportViewModel.js?_dc=1609032028208 HTTP/1.1" 200 679
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyGridViewController.js?_dc=1609032028241 HTTP/1.1" 200 920
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyGridViewModel.js?_dc=1609032028241 HTTP/1.1" 200 667
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MySearchFormViewModel.js?_dc=1609032028241 HTTP/1.1" 200 685
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/TbButtonViewModel.js?_dc=1609032028242 HTTP/1.1" 200 676
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/WinAddRowViewModel.js?_dc=1609032028242 HTTP/1.1" 200 676
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyGrid1ViewController.js?_dc=1609032028243 HTTP/1.1" 200 923
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyGrid1ViewModel.js?_dc=1609032028243 HTTP/1.1" 200 670
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/AsnPopViewModel.js?_dc=1609032028244 HTTP/1.1" 200 671
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/AsnPopViewController.js?_dc=1609032028245 HTTP/1.1" 200 920
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/MyWindowViewModel.js?_dc=1609032028246 HTTP/1.1" 200 658
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/app/view/WinGrDnViewModel.js?_dc=1609032028246 HTTP/1.1" 200 670
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/common/popup/app//model/MyModel.js?_dc=1609032028246 HTTP/1.1" 200 1398
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/common/popup/app//view/WinMBpPop.js?_dc=1609032028252 HTTP/1.1" 200 5211
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/common/popup/app//view/WinMBpPopViewModel.js?_dc=1609032028913 HTTP/1.1" 200 669
112.175.15.141 - - [27/Dec/2020:10:13:16 +0900] "GET /HSPF01/common/popup/app//view/WinMBpGrid.js?_dc=1609032028913 HTTP/1.1" 200 1802
112.175.15.141 - - [27/Dec/2020:10:13:17 +0900] "GET /ext6.5/build/packages/font-awesome/resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
112.175.15.141 - - [27/Dec/2020:10:13:17 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.eot? HTTP/1.1" 304 -
112.175.15.141 - - [27/Dec/2020:10:13:26 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/sql/SCM_DLVY_HSPF_H.jsp?_dc=1609032036858&V_TYPE=HS&V_COMP_ID=HSN&V_USR_ID=P102667&V_BP_CD=00391&V_DLVY_DT_FR=2020-12-27T00%3A00%3A00&V_DLVY_DT_TO=2021-12-27T00%3A00%3A00&V_PO_NO=&V_PO_DT_FR=2020-12-27T00%3A00%3A00&V_PO_DT_TO=2020-12-27T00%3A00%3A00&V_ITEM_CD=&V_ITEM_NM=&V_M_BP_CD=&V_M_BP_NM=&V_ASN_NO_TF=&V_BL_NO=&page=1&start=0&limit=25 HTTP/1.1" 200 43
112.175.15.141 - - [27/Dec/2020:10:13:29 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/sql/SCM_DLVY_HSPF_H.jsp?_dc=1609032041364&V_TYPE=HS&V_COMP_ID=HSN&V_USR_ID=P102667&V_BP_CD=00391&V_DLVY_DT_FR=2020-12-27T00%3A00%3A00&V_DLVY_DT_TO=2021-12-27T00%3A00%3A00&V_PO_NO=&V_PO_DT_FR=2020-12-27T00%3A00%3A00&V_PO_DT_TO=2020-12-27T00%3A00%3A00&V_ITEM_CD=&V_ITEM_NM=&V_M_BP_CD=&V_M_BP_NM=&V_ASN_NO_TF=&V_BL_NO=&page=1&start=0&limit=25 HTTP/1.1" 200 43
112.175.15.141 - - [27/Dec/2020:10:13:33 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/sql/SCM_DLVY_HSPF_H.jsp?_dc=1609032045940&V_TYPE=HS&V_COMP_ID=HSN&V_USR_ID=P102667&V_BP_CD=00391&V_DLVY_DT_FR=2020-12-27T00%3A00%3A00&V_DLVY_DT_TO=2021-12-27T00%3A00%3A00&V_PO_NO=&V_PO_DT_FR=2020-12-28T00%3A00%3A00&V_PO_DT_TO=2020-12-27T00%3A00%3A00&V_ITEM_CD=&V_ITEM_NM=&V_M_BP_CD=&V_M_BP_NM=&V_ASN_NO_TF=&V_BL_NO=&page=1&start=0&limit=25 HTTP/1.1" 200 43
45.155.205.108 - - [27/Dec/2020:10:13:59 +0900] "POST /api/jsonws/invoke HTTP/1.1" 404 1028
