123.54.228.222 - - [16/Aug/2020:00:47:44 +0900] "GET /phpmyadmin/ HTTP/1.1" 404 1016
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/form/field/Checkbox.js?_dc=1597527613034 HTTP/1.1" 404 1086
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/grid/feature/RowBody.js?_dc=1597527613035 HTTP/1.1" 404 1088
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/ProgressBar.js?_dc=1597527613035 HTTP/1.1" 404 1070
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/grid/plugin/RowExpander.js?_dc=1597527613035 HTTP/1.1" 404 1094
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/slider/Single.js?_dc=1597527613035 HTTP/1.1" 404 1074
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/slider/Tip.js?_dc=1597527613035 HTTP/1.1" 404 1068
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/menu/Menu.js?_dc=1597527613035 HTTP/1.1" 404 1066
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/form/field/Picker.js?_dc=1597527613036 HTTP/1.1" 404 1082
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/app/ViewController.js?_dc=1597527613037 HTTP/1.1" 404 1084
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/container/Container.js?_dc=1597527613037 HTTP/1.1" 404 1086
119.207.72.71 - - [16/Aug/2020:06:49:15 +0900] "GET /HSPF01/common/login/Ext/app/ViewModel.js?_dc=1597527613037 HTTP/1.1" 404 1074
46.174.191.30 - - [16/Aug/2020:07:58:36 +0900] "GET / HTTP/1.0" 200 776
119.207.72.71 - - [16/Aug/2020:08:01:46 +0900] "GET / HTTP/1.1" 200 776
119.207.72.71 - - [16/Aug/2020:08:01:50 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2083
119.207.72.71 - - [16/Aug/2020:08:01:56 +0900] "GET /ext6.5/rsa.js HTTP/1.1" 200 2754
119.207.72.71 - - [16/Aug/2020:08:01:58 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 200 2329979
78.108.177.52 - - [16/Aug/2020:08:44:49 +0900] "GET / HTTP/1.0" 200 776
195.54.160.21 - - [16/Aug/2020:09:17:14 +0900] "GET /solr/admin/info/system?wt=json HTTP/1.1" 404 1038
195.54.160.21 - - [16/Aug/2020:09:37:03 +0900] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 776
195.54.160.21 - - [16/Aug/2020:10:01:23 +0900] "GET null null" 400 -
195.54.160.21 - - [16/Aug/2020:10:10:59 +0900] "GET null null" 400 -
39.103.142.195 - - [16/Aug/2020:10:41:13 +0900] "GET /public/simpleboot/css/simplebootadmin.css HTTP/1.1" 404 1076
39.103.142.195 - - [16/Aug/2020:10:41:16 +0900] "GET /e/data/js/ajax.js HTTP/1.1" 404 1028
39.103.142.195 - - [16/Aug/2020:10:41:21 +0900] "GET /statics/css/crop.css HTTP/1.1" 404 1034
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET / HTTP/1.1" 200 776
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2083
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 200 2329979
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/build/classic/theme-triton/theme-triton.js HTTP/1.1" 200 7239
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/build/packages/ux/classic/ux.js HTTP/1.1" 200 158167
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all.css HTTP/1.1" 200 68
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/jsbn.js HTTP/1.1" 200 15718
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/build/classic/locale/locale-ko.js HTTP/1.1" 200 7475
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/rsa.js HTTP/1.1" 200 2754
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/prng4.js HTTP/1.1" 200 1052
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /ext6.5/rng.js HTTP/1.1" 200 1949
116.93.237.27 - - [16/Aug/2020:10:41:59 +0900] "GET /HSPF01/common/login/app.js HTTP/1.1" 200 896
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_1.css HTTP/1.1" 200 322001
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_2.css HTTP/1.1" 200 162600
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /HSPF01/common/login/app/model/LoginModel.js?_dc=1597541582636 HTTP/1.1" 200 1103
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /HSPF01/common/login/app/view/MyViewport.js?_dc=1597541582636 HTTP/1.1" 200 18506
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /HSPF01/common/login/app/store/LoginStore.js?_dc=1597541582636 HTTP/1.1" 200 1212
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /HSPF01/common/login/app/controller/LoginCtrl.js?_dc=1597541582636 HTTP/1.1" 200 3575
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /HSPF01/common/login/app/view/MyViewportViewModel.js?_dc=1597541582680 HTTP/1.1" 200 671
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/AGOTHIC14.TTF HTTP/1.1" 200 3682296
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Light.ttf HTTP/1.1" 200 222412
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-LightItalic.ttf HTTP/1.1" 200 213128
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Italic.ttf HTTP/1.1" 200 212896
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Semibold.ttf HTTP/1.1" 200 221328
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-SemiboldItalic.ttf HTTP/1.1" 200 212820
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Bold.ttf HTTP/1.1" 200 224592
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-BoldItalic.ttf HTTP/1.1" 200 213292
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBold.ttf HTTP/1.1" 200 222584
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBoldItalic.ttf HTTP/1.1" 200 213420
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
116.93.237.27 - - [16/Aug/2020:10:42:01 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.eot? HTTP/1.1" 200 10560
116.93.237.27 - - [16/Aug/2020:10:42:02 +0900] "GET /HSPF01/common/img/nasa.jpg HTTP/1.1" 200 1092783
116.93.237.27 - - [16/Aug/2020:10:42:02 +0900] "GET /HSPF01/common/img/Hwaseung_logo.gif HTTP/1.1" 200 7788
116.93.237.27 - - [16/Aug/2020:10:42:03 +0900] "GET /HSPF01/common/img/hsnetw.ico HTTP/1.1" 200 32768
78.108.177.53 - - [16/Aug/2020:10:46:14 +0900] "GET / HTTP/1.0" 200 776
39.103.142.195 - - [16/Aug/2020:11:23:47 +0900] "GET /xxxss HTTP/1.1" 404 1004
46.174.191.28 - - [16/Aug/2020:12:17:07 +0900] "GET / HTTP/1.0" 200 776
223.38.11.147 - - [16/Aug/2020:12:46:33 +0900] "GET / HTTP/1.1" 200 776
223.38.11.147 - - [16/Aug/2020:13:10:27 +0900] "GET / HTTP/1.1" 200 776
112.111.171.223 - - [16/Aug/2020:13:31:37 +0900] "HEAD / HTTP/1.1" 200 -
80.82.70.187 - - [16/Aug/2020:15:27:19 +0900] "GET /cache/global/img/gs.gif HTTP/1.1" 404 1040
78.108.177.51 - - [16/Aug/2020:16:55:12 +0900] "GET / HTTP/1.0" 200 776
123.199.51.96 - - [16/Aug/2020:17:02:39 +0900] "GET / HTTP/1.1" 200 776
157.55.39.44 - - [16/Aug/2020:17:55:18 +0900] "GET /robots.txt HTTP/1.1" 404 1014
207.46.13.151 - - [16/Aug/2020:17:59:09 +0900] "GET / HTTP/1.1" 200 776
46.174.191.31 - - [16/Aug/2020:18:17:56 +0900] "GET / HTTP/1.0" 200 776
123.199.51.96 - - [16/Aug/2020:18:31:02 +0900] "GET / HTTP/1.1" 200 776
78.108.177.51 - - [16/Aug/2020:18:38:25 +0900] "GET / HTTP/1.0" 200 776
123.199.51.96 - - [16/Aug/2020:19:10:19 +0900] "GET / HTTP/1.1" 200 776
61.219.11.153 - - [16/Aug/2020:20:25:34 +0900] "GET / HTTP/1.1" 400 -
66.249.64.10 - - [16/Aug/2020:22:46:55 +0900] "GET /robots.txt HTTP/1.1" 404 1014
66.249.64.13 - - [16/Aug/2020:22:46:56 +0900] "GET / HTTP/1.1" 200 776
